,city,Lat,Long,VenueName,VenueLatitude,VenueLongitude,VenueCategory
0,Rancho Santa Fe,33.016492,-117.20264,Thyme In the Ranch,33.0191362083549,-117.20326692695225,Tea Room
1,Rancho Santa Fe,33.016492,-117.20264,Mille Fleurs,33.01943,-117.20344,Restaurant
2,Rancho Santa Fe,33.016492,-117.20264,Morada,33.0186882019043,-117.20468139648438,Restaurant
3,Rancho Santa Fe,33.016492,-117.20264,Caffe Positano,33.01999885910058,-117.20317624823785,Coffee Shop
4,Rancho Santa Fe,33.016492,-117.20264,Chase Bank,33.019002,-117.202783,Bank
5,Rancho Santa Fe,33.016492,-117.20264,"Yancey Law, PC",33.01861590603823,-117.20237510580569,Lawyer
6,Rancho Santa Fe,33.016492,-117.20264,Stumps,33.0187022915487,-117.20240741950953,Grocery Store
7,Rancho Santa Fe,33.016492,-117.20264,The Village Market,33.01871,-117.20264,Grocery Store
8,Rancho Santa Fe,33.016492,-117.20264,Rancho Santa Fe Park,33.01921975037851,-117.20365124958283,Park
9,Rancho Santa Fe,33.016492,-117.20264,Morada Restaurant Santa Fe,33.01858901977539,-117.20519256591797,American Restaurant
10,Rancho Santa Fe,33.016492,-117.20264,Browtique Spa,33.0202224,-117.2025198,Health & Beauty Service
11,Rancho Santa Fe,33.016492,-117.20264,Nick And G’s,33.020382,-117.20288,Restaurant
12,San Diego,32.80225,-117.02431,Nick's Fish House,32.802613,-117.025068,New American Restaurant
13,San Diego,32.80225,-117.02431,Annastas Burger,32.798227000000004,-117.025768,Fast Food Restaurant
14,San Diego,33.016928,-116.846046,Panda Express,33.0169,-116.846,Chinese Restaurant
15,San Diego,33.016928,-116.846046,Green Tree Dumpsters,33.01804244690452,-116.84649288654326,Home Service
16,San Diego,33.016928,-116.846046,Uniforms Express,33.01802895272571,-116.8480110168457,Sporting Goods Shop
17,Huntington Beach,33.725167,-118.00509,Mangia Mangia Italian Restaurant,33.72853217491565,-118.0070991598857,Italian Restaurant
18,Huntington Beach,33.725167,-118.00509,John's Philly Grille,33.72877105931361,-118.00733760191494,Sandwich Place
19,Huntington Beach,33.725167,-118.00509,Santa Maria BBQ,33.72867652211901,-118.0053213229655,BBQ Joint
20,Huntington Beach,33.725167,-118.00509,Curry and Kabab Bistro,33.72873571305784,-118.00607807441531,Indian Restaurant
21,Huntington Beach,33.725167,-118.00509,Hobby Lobby,33.7289115,-118.0032912,Fabric Shop
22,Huntington Beach,33.725167,-118.00509,Lee's Sandwiches,33.729439071014525,-118.00652318490967,Sandwich Place
23,Huntington Beach,33.725167,-118.00509,Living Spaces,33.728552996978856,-118.0080488329861,Furniture / Home Store
24,Huntington Beach,33.725167,-118.00509,Wendy’s,33.72921391407527,-118.00636053085327,Fast Food Restaurant
25,Huntington Beach,33.725167,-118.00509,Papa John's Pizza,33.7280994,-118.007106,Pizza Place
26,Huntington Beach,33.725167,-118.00509,TeaArias,33.72863323605674,-118.00428227148033,Bubble Tea Shop
27,Huntington Beach,33.725167,-118.00509,Round Table Pizza,33.72853,-118.00636,Pizza Place
28,Huntington Beach,33.725167,-118.00509,Jack's Surfboards Office,33.72560836672482,-117.99991898328132,Office
29,Huntington Beach,33.725167,-118.00509,ampm,33.72252753,-118.0071104,Convenience Store
30,Huntington Beach,33.725167,-118.00509,Zeek Interactive,33.72498670494929,-118.00105750661452,Office
31,Huntington Beach,33.725167,-118.00509,Eat At Joes,33.72870343363837,-118.00593856379713,Burger Joint
32,Huntington Beach,33.725167,-118.00509,Heil & Goldenwest St,33.722736,-118.00694,Intersection
33,Huntington Beach,33.725167,-118.00509,Dolce Vita Skin & Body Day Spa,33.722182000000004,-118.00738,Cosmetics Shop
34,Huntington Beach,33.725167,-118.00509,Surf City Optometry,33.72865577972098,-118.00411012964936,Optical Shop
35,Huntington Beach,33.725167,-118.00509,Amsterdam Smokeshop,33.728457,-118.007195,Smoke Shop
36,Huntington Beach,33.725167,-118.00509,The Brow and Skin Studio with Apothecary,33.728457,-118.007195,Cosmetics Shop
